event_id,vehicle_id,timestamp,speed_mph,fuel_level_pct,engine_temperature_c,latitude,longitude
EVT-00001,VH-009,2024-06-10 06:00:00,44.57,66.3,98.93,51.321305,-2.106746
EVT-00002,VH-001,2024-06-10 06:05:00,52.25,75.56,105.77,51.389769,-1.979486
EVT-00003,VH-002,2024-06-10 06:10:00,56.7,79.38,75.67,51.3331,-1.896393
EVT-00004,VH-010,2024-06-10 06:15:00,0.49,84.85,82.71,51.420823,-2.186081
EVT-00005,VH-002,2024-06-10 06:20:00,30.85,24.3,102.09,51.58285,-1.883902
EVT-00006,VH-005,2024-06-10 06:25:00,49.7,19.8,97.0,51.546493,-1.896945
EVT-00007,VH-004,2024-06-10 06:30:00,66.78,87.92,78.09,51.338478,-2.164391
EVT-00008,VH-004,2024-06-10 06:35:00,60.33,84.64,88.01,51.429668,-2.18312
EVT-00009,VH-003,2024-06-10 06:40:00,71.27,79.74,79.6,51.530843,-2.092423
EVT-00010,VH-006,2024-06-10 06:45:00,67.54,40.49,90.36,51.308706,-1.848302
EVT-00011,VH-006,2024-06-10 06:50:00,45.88,71.19,97.47,51.513267,-2.191001
EVT-00012,VH-001,2024-06-10 06:55:00,31.03,65.93,92.01,51.330223,-1.90692
EVT-00013,VH-001,2024-06-10 07:00:00,48.1,26.09,80.22,51.484284,-2.04584
EVT-00014,VH-001,2024-06-10 07:05:00,41.61,15.24,96.38,51.535608,-2.15394
EVT-00015,VH-002,2024-06-10 07:10:00,60.47,53.46,77.98,51.53896,-1.877494
EVT-00016,VH-005,2024-06-10 07:15:00,61.75,41.5,107.33,51.46843,-1.989675
EVT-00017,VH-010,2024-06-10 07:20:00,9.83,28.49,87.53,51.302976,-1.939367
EVT-00018,VH-010,2024-06-10 07:25:00,17.71,35.93,80.38,51.495688,-2.1209
EVT-00019,VH-003,2024-06-10 07:30:00,67.2,94.59,105.99,51.580631,-2.158941
EVT-00020,VH-001,2024-06-10 07:35:00,22.53,57.73,109.95,51.514953,-2.12782
EVT-00021,VH-001,2024-06-10 07:40:00,84.4,42.8,106.69,51.509902,-1.845385
EVT-00022,VH-008,2024-06-10 07:45:00,82.74,21.4,75.26,51.366112,-2.15737
EVT-00023,VH-006,2024-06-10 07:50:00,46.55,91.78,85.64,51.33513,-2.024996
EVT-00024,VH-002,2024-06-10 07:55:00,1.37,18.05,85.01,51.577045,-1.813096
EVT-00025,VH-009,2024-06-10 08:00:00,48.17,71.64,74.98,51.449847,-2.153225
EVT-00026,VH-009,2024-06-10 08:05:00,41.07,10.78,101.92,51.518865,-2.068879
EVT-00027,VH-008,2024-06-10 08:10:00,59.52,96.09,102.29,51.473105,-2.154401
EVT-00028,VH-009,2024-06-10 08:15:00,25.29,36.08,93.5,51.554442,-2.106313
EVT-00029,VH-010,2024-06-10 08:20:00,18.31,69.22,99.29,51.418501,-1.827611
EVT-00030,VH-008,2024-06-10 08:25:00,64.43,93.44,100.31,51.477733,-2.171892
EVT-00031,VH-004,2024-06-10 08:30:00,72.83,47.85,108.8,51.515281,-1.983145
EVT-00032,VH-006,2024-06-10 08:35:00,51.34,87.91,87.31,51.372667,-2.071003
EVT-00033,VH-009,2024-06-10 08:40:00,20.73,77.4,98.71,51.516111,-1.8474
EVT-00034,VH-004,2024-06-10 08:45:00,15.8,12.15,89.67,51.52538,-1.910893
EVT-00035,VH-009,2024-06-10 08:50:00,63.72,48.27,82.01,51.442997,-1.972326
EVT-00036,VH-001,2024-06-10 08:55:00,73.57,42.23,108.38,51.363302,-1.959553
EVT-00037,VH-001,2024-06-10 09:00:00,27.85,48.87,83.44,51.526014,-1.904228
EVT-00038,VH-009,2024-06-10 09:05:00,17.21,39.31,104.46,51.459815,-1.861609
EVT-00039,VH-002,2024-06-10 09:10:00,17.16,30.95,106.69,51.404131,-2.133302
EVT-00040,VH-002,2024-06-10 09:15:00,26.05,86.86,102.76,51.475468,-2.047852
EVT-00041,VH-006,2024-06-10 09:20:00,53.56,79.86,89.56,51.444711,-1.884157
EVT-00042,VH-003,2024-06-10 09:25:00,68.06,74.78,108.67,51.36042,-2.026852
EVT-00043,VH-001,2024-06-10 09:30:00,61.0,76.55,92.66,51.476399,-2.043917
EVT-00044,VH-003,2024-06-10 09:35:00,83.06,88.17,100.66,51.448316,-2.194854
EVT-00045,VH-010,2024-06-10 09:40:00,36.96,19.57,87.25,51.403602,-1.897672
EVT-00046,VH-008,2024-06-10 09:45:00,22.79,60.54,95.2,51.433638,-1.850833
EVT-00047,VH-007,2024-06-10 09:50:00,45.15,96.85,105.38,51.316683,-1.968822
EVT-00048,VH-008,2024-06-10 09:55:00,60.16,25.83,103.75,51.337871,-1.803027
EVT-00049,VH-009,2024-06-10 10:00:00,63.06,47.28,107.92,51.32531,-2.053295
EVT-00050,VH-003,2024-06-10 10:05:00,24.35,35.5,93.26,51.597104,-2.130006
